x,y,terrain,terrainId,biome,elevation,groundNav,route,encounter,northTerrain,eastTerrain,southTerrain,westTerrain,promptFamilyId
0,0,F,forest-floor,F,3,#,.,.,VOID,X,F,VOID,terrain-forest-floor
1,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,F,terrain-cliff-mountain
2,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
3,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
4,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
5,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
6,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
7,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
8,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
9,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
10,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
11,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
12,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
13,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
14,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
15,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
16,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
17,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
18,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
19,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
20,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
21,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
22,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
23,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
24,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
25,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
26,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
27,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
28,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
29,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
30,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
31,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
32,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
33,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
34,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
35,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
36,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
37,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
38,0,X,cliff-mountain,M,3,#,.,.,VOID,X,R,X,terrain-cliff-mountain
